age,monthly_spend,tenure_months,support_tickets,plan_type,region,auto_pay,last_login_days,churned
44,69.35,15,0,standard,south,0,12,0
61,77.89,57,0,basic,south,1,5,0
65,75.55,63,0,standard,south,1,1,0
59,81.93,69,0,standard,east,1,1,0
45,59.70,12,0,basic,west,0,1,1
50,47.87,19,0,basic,north,1,5,0
68,43.21,4,0,basic,east,1,8,0
54,102.57,30,0,standard,west,0,8,0
22,78.51,29,1,standard,west,0,0,1
69,176.76,72,4,premium,east,0,3,0
69,,4,1,basic,west,1,30,1
39,93.73,64,0,,south,1,19,0
52,93.30,60,0,standard,east,0,12,0
72,84.74,6,0,standard,east,1,25,0
55,75.85,53,0,standard,south,0,15,1
38,20.11,75,0,basic,north,1,12,0
68,70.79,69,0,basic,west,1,10,0
50,29.58,38,1,basic,south,0,1,0
23,75.83,6,0,standard,east,1,0,0
31,68.87,15,0,standard,east,0,0,0
24,47.15,58,0,basic,south,1,6,1
47,157.03,10,0,premium,east,1,5,0
54,110.75,4,5,standard,west,1,0,1
45,87.39,24,1,standard,south,0,3,0
31,37.13,11,3,basic,east,1,12,1
32,20.79,37,0,basic,east,1,5,0
44,96.43,26,0,standard,east,1,7,0
63,70.31,40,0,standard,west,0,3,0
27,87.84,38,1,standard,north,0,,0
20,79.86,71,2,standard,west,0,2,0
60,130.33,40,0,premium,east,1,4,0
57,55.81,54,4,basic,west,0,2,0
60,41.05,32,3,basic,south,0,2,1
21,67.81,62,2,basic,west,0,12,1
48,67.61,17,1,standard,south,1,7,0
55,97.47,14,0,standard,west,1,2,0
25,136.30,41,1,premium,north,0,17,0
45,95.87,47,0,standard,north,1,32,0
42,81.34,39,0,basic,north,1,3,0
27,49.97,6,0,standard,west,0,1,0
23,105.78,44,0,standard,south,1,8,0
51,37.67,62,0,basic,east,0,10,0
40,148.96,83,0,premium,south,1,2,0
28,72.47,44,1,basic,south,1,23,1
71,113.79,79,0,standard,west,0,4,0
33,40.41,18,0,basic,west,1,12,0
65,83.59,32,2,standard,east,0,8,1
37,102.75,5,4,standard,north,1,4,1
71,58.80,35,2,basic,east,1,17,0
38,66.02,5,1,basic,north,1,11,1
22,70.33,11,0,basic,east,0,2,0
29,133.52,56,0,premium,south,1,13,0
72,96.01,30,0,standard,north,0,0,0
30,172.17,43,1,premium,west,1,7,0
40,93.49,31,0,standard,north,1,12,0
72,47.10,32,0,basic,west,1,8,1
56,183.58,50,1,premium,west,1,15,1
60,,55,1,basic,south,0,10,1
32,73.61,5,0,basic,south,0,31,1
33,149.07,75,4,premium,east,1,1,0
42,62.96,34,1,basic,east,1,29,0
38,73.04,5,2,basic,east,1,0,0
62,124.88,48,0,premium,south,1,25,1
31,83.25,55,1,standard,west,1,11,0
60,135.79,67,1,premium,west,1,16,0
23,63.17,23,1,basic,east,0,17,1
53,143.91,50,0,premium,west,1,3,0
28,81.68,32,0,standard,east,1,27,1
57,103.17,3,0,standard,south,0,6,1
66,78.82,17,1,standard,north,1,10,0
21,40.62,3,0,basic,west,1,2,0
40,38.99,16,1,basic,west,1,5,0
71,134.72,15,0,premium,north,1,1,0
58,108.30,70,1,standard,east,1,6,0
37,85.97,56,4,standard,south,0,5,1
58,38.84,73,1,basic,south,0,5,0
37,79.10,41,0,standard,east,1,13,0
69,45.91,77,2,basic,west,0,6,0
61,34.67,54,2,basic,north,0,4,0
64,54.40,48,0,basic,south,1,21,0
33,24.84,41,2,basic,north,1,3,0
64,173.97,54,4,premium,north,1,,1
42,136.34,27,2,,north,1,4,0
30,94.39,28,2,standard,west,0,5,1
40,108.76,33,0,standard,east,1,14,1
23,155.55,53,0,premium,east,1,3,0
56,62.05,28,2,basic,west,1,1,0
26,96.58,51,0,standard,south,0,2,0
24,50.34,77,1,basic,north,1,10,1
25,133.28,81,0,premium,west,1,7,0
25,53.27,62,0,basic,north,0,4,0
48,97.51,57,0,standard,east,1,1,0
22,92.76,37,0,standard,south,1,0,0
43,82.03,17,1,standard,north,1,2,0
43,93.83,12,0,standard,south,0,5,1
67,79.89,58,1,standard,north,1,4,0
36,39.43,65,0,basic,north,1,16,0
53,62.17,7,0,basic,south,1,2,0
42,64.38,16,0,standard,east,1,11,0
70,100.81,29,0,standard,north,0,2,0
53,83.72,30,0,standard,east,1,9,1
55,111.85,70,2,standard,north,1,2,0
46,86.83,51,0,standard,south,1,0,0
54,42.97,30,0,basic,east,1,12,0
72,,42,0,basic,north,1,7,0
27,34.56,8,1,basic,north,1,7,1
62,78.63,77,4,standard,south,0,0,0
72,137.06,2,0,premium,north,1,10,0
49,58.05,79,2,basic,south,1,1,0
24,84.34,33,0,standard,north,0,5,0
62,72.61,56,2,standard,west,0,18,1
65,107.32,78,0,standard,east,1,44,1
27,156.77,61,2,premium,west,1,11,0
63,75.87,83,1,standard,east,1,3,0
45,72.25,3,0,standard,west,1,6,0
24,123.42,5,2,standard,west,1,12,0
60,52.02,22,0,basic,east,1,5,0
53,60.92,15,0,standard,north,0,9,0
71,20.17,4,1,basic,north,0,14,1
72,179.18,50,1,premium,east,0,33,0
70,56.86,44,0,basic,south,1,11,0
44,143.69,12,0,premium,east,0,8,0
68,89.16,65,0,standard,east,1,32,0
51,155.38,26,1,premium,north,1,1,0
60,85.35,37,2,standard,south,1,19,1
61,28.55,38,7,basic,west,0,2,0
23,72.62,26,2,standard,east,1,5,0
44,36.50,27,3,basic,south,1,21,0
60,51.06,3,1,basic,east,1,21,0
64,66.56,44,1,standard,east,1,4,0
33,128.82,61,1,premium,east,0,1,0
67,83.84,13,3,standard,south,0,9,0
49,84.49,65,0,basic,west,1,1,0
71,83.68,78,0,standard,north,1,2,0
52,77.10,36,4,standard,north,1,,0
37,27.96,43,2,basic,west,1,4,0
51,59.20,80,0,basic,west,1,2,0
24,49.23,30,3,basic,south,1,0,0
36,146.75,12,0,premium,east,0,1,0
69,49.64,16,1,basic,west,0,4,1
26,51.88,38,0,basic,west,1,33,1
42,82.78,50,0,standard,west,1,3,0
23,54.52,77,0,standard,south,0,6,0
42,143.87,27,2,premium,north,0,3,0
60,93.26,41,0,standard,south,0,34,1
55,42.62,1,0,basic,east,0,1,0
65,66.67,65,0,basic,west,1,13,0
40,51.76,28,1,basic,west,0,12,0
64,76.69,1,0,standard,east,1,5,0
42,137.58,23,0,premium,south,1,8,0
54,34.39,84,0,basic,north,1,23,0
37,,3,0,premium,south,1,5,1
58,54.06,6,1,basic,east,1,1,1
27,164.64,79,0,,south,0,3,0
71,72.00,14,0,standard,east,0,7,0
46,52.30,21,1,basic,south,1,17,0
57,85.40,59,0,standard,east,1,6,0
32,39.85,21,1,basic,north,1,0,0
62,33.92,50,0,basic,east,0,21,0
21,51.28,35,0,basic,west,1,11,0
65,159.09,46,0,premium,north,1,5,0
47,129.60,35,0,premium,west,1,5,0
62,84.95,75,2,standard,north,1,1,0
72,132.77,22,4,premium,south,0,4,0
36,49.90,17,0,standard,north,1,22,1
50,66.41,23,1,standard,east,0,14,1
28,68.20,82,1,standard,east,1,1,0
56,69.30,50,0,standard,west,1,4,0
51,94.25,24,4,standard,west,1,1,0
24,40.33,17,0,basic,east,0,24,1
32,89.89,66,0,standard,south,0,5,0
31,38.04,53,0,basic,south,1,1,0
64,131.22,29,0,premium,west,1,7,0
64,72.26,19,4,standard,north,1,19,1
54,45.95,30,0,basic,north,0,16,0
42,22.00,63,3,basic,west,1,18,0
44,43.98,17,4,basic,east,0,10,1
21,63.72,32,1,basic,north,0,12,0
59,57.39,59,1,basic,east,1,6,0
43,126.63,16,2,standard,north,1,11,0
24,127.75,51,4,premium,west,1,5,0
52,82.73,48,1,standard,south,1,6,0
39,135.67,64,0,premium,east,1,23,0
32,57.17,6,0,basic,south,0,2,0
60,95.51,33,1,standard,west,0,22,0
35,41.77,51,1,basic,south,1,0,0
39,52.70,39,1,basic,east,1,4,0
57,111.45,56,0,standard,west,0,,0
71,74.01,28,1,standard,east,1,23,0
66,128.03,4,0,premium,south,0,12,0
60,68.48,1,0,basic,south,0,17,1
25,45.80,73,0,basic,east,1,24,0
67,149.35,8,0,premium,north,1,17,1
27,43.13,42,0,basic,south,0,5,0
59,48.60,20,0,basic,north,1,19,0
35,76.10,59,1,standard,south,1,0,0
38,135.12,44,2,premium,north,1,12,0
47,80.20,37,1,standard,west,0,22,1
24,,52,0,basic,south,0,4,0
49,90.72,51,0,standard,north,1,6,0
59,90.38,5,1,standard,east,1,8,0
42,60.06,16,0,basic,west,0,5,0
36,64.55,71,1,standard,south,1,11,0
70,106.38,29,3,standard,south,0,7,1
52,65.62,41,0,standard,east,1,6,0
25,146.41,75,0,premium,north,1,4,0
59,74.80,32,0,standard,north,0,21,1
20,37.30,3,1,basic,north,0,3,0
45,71.80,42,0,standard,west,1,13,0
70,54.07,59,0,basic,east,1,2,0
58,86.25,53,1,standard,south,0,10,0
30,75.65,10,0,standard,south,1,3,0
32,131.09,30,0,premium,south,0,2,0
46,53.37,83,0,basic,south,1,6,0
21,145.67,83,0,premium,north,1,6,0
62,44.36,56,0,basic,north,0,13,0
43,113.64,8,2,standard,south,1,1,0
41,56.60,29,2,basic,north,0,12,1
57,57.06,66,0,basic,south,1,5,0
40,86.62,22,1,standard,west,1,4,0
54,80.32,26,0,standard,east,1,2,0
57,88.15,41,0,standard,north,1,5,0
55,130.87,67,1,premium,north,1,3,0
63,83.67,13,1,standard,south,1,5,0
43,80.12,33,0,,east,1,11,0
23,71.60,78,2,standard,south,0,27,1
26,101.27,9,0,standard,south,1,0,0
55,61.75,75,2,basic,east,0,6,1
72,87.45,34,0,standard,north,0,2,0
