floor_area_sqm,bedrooms,building_age,distance_to_center_km,transit_score,district,has_elevator,renovation_quality,monthly_rent
160.91,5,34,14.46,47.89,central,1,1,8159.63
112.76,3,2,22.65,21.52,riverside,1,1,4657.05
65.56,2,36,15.24,50.08,university,0,5,4528.39
37.25,1,12,2.97,97.15,university,1,1,3663.34
126.87,3,16,6.02,81.24,university,1,1,6814.03
44.23,1,10,1.76,91.99,riverside,1,3,5123.29
160.81,5,31,3.64,75.34,university,0,1,8426.41
124.95,4,13,9.06,65.23,university,1,5,7645.36
46.25,1,9,12.97,57.88,suburban,1,1,2697.87
114.17,4,13,23.13,40.42,university,1,2,5178.54
40.62,1,15,23.88,22.59,university,1,2,1738.70
151.70,5,16,10.94,,university,1,4,7945.63
158.09,5,12,12.67,61.02,suburban,1,5,8167.40
54.19,2,19,5.51,80.25,central,0,2,4971.36
122.20,4,42,1.96,88.84,university,1,2,7259.92
121.96,4,38,18.28,51.69,suburban,0,1,4120.61
142.26,4,5,18.28,39.09,suburban,1,1,5337.72
85.70,3,37,4.78,81.30,university,1,3,6062.65
140.87,4,24,23.46,25.19,riverside,1,4,6427.37
88.84,2,9,8.14,82.39,riverside,1,2,5745.51
52.78,2,33,11.57,72.71,university,0,4,3623.59
157.99,5,23,4.03,71.10,university,1,2,8261.09
114.28,4,31,21.26,25.23,university,1,2,4981.59
156.01,5,20,14.36,65.50,university,0,2,7086.16
79.40,2,25,3.38,98.69,suburban,1,2,5047.29
112.78,3,16,11.71,55.08,riverside,1,4,7142.98
163.61,4,31,3.53,87.77,riverside,1,1,8792.81
61.88,1,33,3.10,100.00,suburban,0,5,4976.71
94.26,2,3,20.06,41.70,university,1,1,4359.41
130.01,4,6,17.64,64.96,riverside,1,5,7509.62
80.27,2,38,3.61,90.28,central,1,1,5695.97
86.59,2,5,13.86,56.74,central,1,2,5546.52
152.47,4,31,9.81,58.55,central,1,3,8606.90
150.94,4,36,21.86,39.88,,0,5,6070.09
45.61,1,3,22.43,40.18,suburban,1,2,2100.67
156.22,5,30,15.84,61.56,university,1,1,6703.25
109.95,3,13,16.52,47.78,central,1,5,7124.08
157.61,5,10,10.87,71.97,university,1,5,9027.55
164.61,5,13,17.38,53.47,suburban,1,1,6265.93
133.81,4,33,17.78,42.91,university,1,5,6930.93
164.36,5,3,4.11,76.04,university,1,2,8833.84
73.66,2,19,5.59,79.82,central,0,4,6164.31
124.42,4,33,3.65,79.27,university,0,2,7405.57
80.45,2,21,21.19,41.18,central,0,1,4194.37
77.31,3,30,20.26,45.76,suburban,0,3,3222.40
136.25,4,6,7.87,60.60,central,1,5,8714.78
89.07,3,20,11.49,69.48,central,1,1,5628.62
122.36,4,11,0.49,96.65,central,1,2,8858.54
36.18,1,6,15.27,53.66,central,1,4,4356.43
123.90,3,5,23.05,33.56,central,1,4,7207.42
55.73,2,34,17.98,51.17,university,1,4,3616.65
115.28,3,9,7.75,69.15,central,1,1,6676.58
63.62,2,5,18.79,37.36,central,1,4,4964.56
55.27,2,17,19.23,55.11,university,1,2,2861.12
83.72,2,37,16.34,51.54,suburban,0,5,4106.86
94.23,3,6,19.96,39.04,riverside,1,1,4599.40
141.62,4,30,14.65,64.03,central,0,5,8795.41
106.63,3,0,2.58,87.19,suburban,1,1,5839.14
134.98,4,28,10.31,74.26,riverside,1,4,8188.70
106.48,3,20,3.76,87.06,riverside,1,1,6823.53
55.52,1,26,9.22,66.42,university,0,3,3810.47
100.67,3,33,19.95,37.25,university,1,5,5467.33
55.37,2,37,17.98,55.44,riverside,0,2,3249.67
111.39,3,33,10.07,56.30,riverside,0,3,6100.36
101.02,3,13,16.10,40.72,suburban,1,3,4974.20
60.36,1,10,7.58,62.77,suburban,1,1,3275.58
105.57,3,22,19.62,64.25,central,0,4,6408.32
162.26,5,3,23.86,44.54,university,1,1,7228.42
35.03,1,42,8.19,75.58,riverside,1,3,3675.67
89.00,3,40,7.31,87.59,university,1,5,6548.68
143.78,4,20,0.44,88.73,central,1,1,8504.19
74.51,2,13,17.06,40.17,riverside,1,1,3843.95
106.24,3,5,14.62,59.23,central,1,3,7394.02
110.58,3,20,3.17,84.41,university,1,3,6863.11
121.30,4,26,20.43,44.73,central,1,4,6116.12
86.71,2,25,13.59,50.04,central,0,1,4484.68
59.34,2,14,16.20,46.84,riverside,1,4,4417.76
53.33,2,20,4.52,84.10,university,1,3,4573.47
119.62,4,10,14.29,,suburban,1,3,5922.67
71.86,2,24,22.06,22.78,riverside,1,4,3959.86
57.50,1,37,3.25,78.10,university,0,5,5217.17
80.19,3,25,14.53,54.54,university,1,3,4307.43
153.63,5,27,8.05,78.02,university,0,4,8586.39
55.85,2,12,1.46,86.95,riverside,1,4,5226.50
66.49,2,39,3.77,93.37,central,0,5,6536.17
86.57,3,41,2.74,78.32,university,1,2,5592.15
75.09,2,21,15.63,56.85,riverside,1,2,4179.75
109.33,3,27,15.52,51.03,central,1,5,7120.24
72.73,2,18,18.23,48.52,riverside,0,2,4286.22
76.84,2,28,6.84,84.74,central,1,5,6698.27
56.72,2,37,21.90,35.30,central,0,4,3825.89
156.26,4,2,20.70,43.79,central,1,4,8217.47
145.97,5,37,23.43,28.52,riverside,1,5,6993.59
47.70,1,35,10.02,74.69,university,0,1,2954.83
58.26,2,3,11.29,72.02,suburban,1,3,4235.12
138.49,4,38,12.97,58.49,riverside,1,3,7189.04
102.33,3,14,13.30,65.72,university,1,5,6461.29
123.71,3,21,4.17,91.64,central,1,4,8406.44
70.45,2,33,12.89,67.05,suburban,0,5,4171.85
69.43,2,8,3.39,88.39,riverside,1,5,6085.30
137.64,4,17,20.59,55.83,university,1,2,5837.03
66.13,2,33,22.65,37.64,riverside,1,1,2647.10
103.69,3,18,6.90,71.71,riverside,1,2,6324.54
57.53,1,30,2.67,90.87,suburban,0,3,4286.72
111.83,3,11,9.99,59.20,riverside,1,1,5960.46
148.90,4,10,1.48,100.00,suburban,1,2,7953.03
131.55,4,16,15.45,62.62,university,1,4,7147.68
92.82,3,3,3.00,87.55,university,1,2,5887.53
114.11,3,32,16.50,55.74,riverside,0,5,6446.31
149.24,4,35,3.42,78.13,suburban,0,3,7581.71
140.12,4,27,8.96,67.95,central,1,3,8627.05
86.69,2,15,16.99,61.44,suburban,1,1,3871.35
83.78,3,29,2.72,93.60,central,0,2,6659.92
118.60,4,33,6.86,76.51,suburban,1,3,6339.74
157.09,5,24,5.10,70.26,riverside,1,5,9336.60
107.89,3,6,11.20,62.13,university,1,2,6175.68
111.11,3,21,7.92,69.23,university,1,3,6476.84
72.33,2,36,8.92,84.42,suburban,0,1,3384.53
138.84,4,32,16.15,64.29,riverside,1,4,7392.64
141.73,4,16,4.05,84.70,suburban,1,2,7407.44
68.23,2,4,21.59,23.28,central,1,1,3465.37
128.60,4,3,23.16,52.90,central,1,4,7337.20
162.76,5,25,12.98,46.22,,1,4,8630.31
134.74,4,35,12.50,60.08,university,0,4,6952.63
61.22,2,22,2.24,91.30,central,0,3,6504.04
79.08,2,41,23.49,27.45,riverside,0,1,2725.02
50.90,1,5,4.61,96.31,riverside,1,1,4297.94
150.98,5,5,16.82,48.38,university,1,4,7855.13
135.38,4,8,2.52,93.34,university,1,4,8386.13
65.63,2,38,22.39,24.88,suburban,1,2,1801.07
137.61,4,36,1.60,95.64,suburban,0,4,7131.36
46.83,1,3,19.03,52.03,suburban,1,5,3279.09
149.61,5,27,16.43,58.11,university,0,2,6758.75
150.67,5,13,22.29,49.97,riverside,1,3,7344.95
105.05,3,38,0.99,97.82,suburban,0,2,5668.94
82.40,3,42,15.15,51.46,central,0,1,5095.49
93.13,3,12,8.23,83.34,university,1,2,6068.80
44.60,1,40,21.14,25.31,central,1,1,2703.50
145.58,4,23,4.98,90.31,riverside,0,3,8603.41
43.73,1,31,6.70,97.58,university,1,5,4788.66
154.17,4,28,21.47,34.35,riverside,0,4,7205.00
57.77,1,14,3.77,85.49,suburban,1,2,3627.25
128.93,4,40,20.90,44.70,central,0,2,5950.32
144.31,4,41,14.50,61.81,central,1,5,8217.65
76.36,3,40,22.28,34.08,riverside,0,1,3320.98
81.83,2,28,1.73,,central,1,4,6602.50
69.41,2,15,2.73,97.63,university,1,4,6081.73
147.71,4,38,11.90,69.99,central,0,2,7974.02
100.25,3,36,9.86,68.75,riverside,1,5,6400.20
160.95,4,7,10.64,65.80,riverside,1,2,8463.00
125.99,4,9,17.11,53.76,riverside,1,3,6592.12
90.50,3,28,6.56,90.02,university,1,5,6697.43
134.10,4,34,17.93,44.08,suburban,0,1,4704.09
124.97,4,13,20.24,39.39,central,1,4,6747.16
159.41,5,37,6.99,68.06,central,0,2,8887.75
122.48,4,14,5.65,73.67,university,1,1,6844.41
152.29,5,0,5.30,81.63,university,1,5,9056.30
81.85,3,12,21.03,42.62,riverside,1,5,5061.31
60.43,2,38,19.79,31.91,riverside,0,5,3499.51
108.80,3,5,1.48,89.72,suburban,1,1,6275.92
68.53,2,15,15.42,61.44,university,1,2,3866.49
32.02,1,11,9.61,66.28,university,1,1,2998.30
120.46,4,14,13.37,60.19,suburban,1,1,5447.13
127.03,4,26,16.85,49.73,suburban,0,3,5564.86
92.02,3,9,22.01,42.54,university,1,3,4393.15
136.04,4,1,20.63,47.49,university,1,3,6280.19
158.60,5,4,14.88,55.35,riverside,1,3,8250.10
144.66,5,37,3.19,81.83,suburban,1,3,7675.82
146.09,4,32,19.32,47.25,riverside,0,3,7321.91
162.38,5,39,20.73,43.57,university,0,1,6665.67
94.91,3,38,11.53,41.19,university,0,4,4951.04
35.45,1,9,16.23,58.24,central,1,2,3769.25
57.78,2,5,3.99,99.93,central,1,1,5285.80
87.59,2,23,15.90,54.46,suburban,1,5,5020.22
46.88,2,10,17.94,44.11,suburban,1,2,2155.00
117.77,3,25,22.94,34.62,university,0,1,4631.24
76.41,2,13,23.51,41.46,riverside,1,3,4373.81
39.52,1,31,3.83,81.48,central,0,5,5296.32
140.96,4,3,6.77,81.16,riverside,1,1,7638.72
48.91,1,39,12.67,67.75,suburban,1,3,2784.21
45.36,2,7,9.64,67.22,riverside,1,3,4200.36
102.54,3,42,22.55,42.52,riverside,0,2,3959.15
59.53,2,24,13.77,51.06,central,1,1,4508.61
51.35,1,8,8.37,52.41,riverside,1,3,4224.15
54.98,1,13,20.05,34.63,riverside,1,3,3259.26
139.14,4,6,18.05,43.04,university,1,3,6953.31
64.89,2,14,8.84,81.86,central,1,4,6338.96
75.73,2,21,5.78,74.61,riverside,0,4,5621.25
38.74,1,2,7.09,71.11,central,1,2,4634.93
41.97,1,7,7.48,69.36,riverside,1,1,3884.68
158.80,5,5,0.82,87.51,riverside,1,5,10075.30
153.39,5,24,15.20,50.72,suburban,1,4,7091.34
138.38,4,13,18.13,41.58,suburban,1,5,6696.12
58.74,2,16,17.71,54.60,university,1,1,2994.69
37.84,2,41,12.96,64.79,central,0,2,3475.10
113.21,3,34,17.23,51.41,central,1,5,7310.15
163.95,5,26,11.74,62.82,riverside,0,5,8401.78
156.14,5,24,5.35,85.28,central,1,1,8973.31
162.87,5,13,19.86,34.28,riverside,1,2,7323.30
50.20,1,35,12.52,56.77,suburban,0,2,2429.08
154.56,4,5,18.33,45.85,suburban,1,4,7515.39
155.85,4,37,5.26,83.48,riverside,0,5,9379.26
164.66,5,12,21.81,31.79,central,1,4,8621.27
53.22,2,16,22.62,31.23,riverside,1,5,3919.44
130.20,4,40,22.34,42.51,university,0,5,5979.50
117.13,4,35,1.79,89.79,suburban,1,1,6625.69
138.21,4,29,20.70,38.01,suburban,0,5,5707.93
161.48,4,20,20.05,55.34,suburban,1,4,7085.99
69.63,2,27,14.28,61.89,suburban,1,1,3217.27
114.02,4,41,2.77,85.61,central,1,4,8008.08
90.49,2,17,2.43,95.11,riverside,1,5,6913.80
111.06,3,9,11.65,72.91,,1,2,5613.27
67.56,2,25,9.05,,central,0,2,4933.85
152.25,4,22,12.02,52.75,riverside,0,5,8610.55
44.53,1,30,16.85,43.71,university,1,4,3204.89
54.87,1,0,7.74,76.11,suburban,1,1,3258.59
144.91,4,21,3.87,89.95,suburban,0,5,8442.94
121.07,4,19,16.12,56.36,central,1,5,7533.43
74.56,2,39,14.23,54.99,central,0,1,3979.86
107.42,4,32,19.63,48.83,suburban,1,1,4290.90
59.01,2,0,8.20,86.47,suburban,1,1,3619.27
153.84,5,37,20.10,47.27,university,1,1,6230.39
151.43,4,1,4.61,90.44,university,1,3,8677.74
126.07,3,6,9.38,91.32,riverside,1,2,7476.71
130.34,4,3,18.26,41.44,riverside,1,2,6387.22
63.00,2,10,14.42,55.88,central,1,3,4746.72
41.56,1,32,21.56,36.26,central,0,2,2566.66
82.07,2,35,17.74,50.54,suburban,0,1,2733.78
146.56,5,13,19.97,39.26,riverside,1,1,6384.25
142.08,4,40,20.55,46.83,university,1,5,6856.33
94.66,2,37,9.74,74.06,suburban,1,2,4879.99
155.42,4,10,18.16,64.23,central,1,3,8535.29
35.25,1,15,1.18,89.48,suburban,1,2,2843.17
112.52,3,3,22.23,30.24,central,1,3,5914.18
85.75,3,22,21.43,37.24,suburban,1,2,3054.78
84.77,2,13,16.82,39.25,central,1,5,5668.92
155.30,5,28,1.94,91.01,suburban,1,4,8731.83
46.12,1,26,4.91,78.50,suburban,1,5,4293.85
89.32,3,16,14.94,71.19,central,1,1,5617.91
153.87,5,37,15.81,46.42,central,1,3,8447.07
142.98,4,3,11.96,58.95,riverside,1,2,7851.06
104.78,3,41,9.91,73.05,riverside,1,5,7043.67
74.68,3,38,18.21,47.04,university,0,2,3896.92
156.60,4,7,21.25,57.66,riverside,1,5,7952.33
69.24,2,34,22.03,31.42,suburban,1,1,1820.71
71.23,2,4,15.00,58.38,suburban,1,1,3461.60
137.33,4,29,17.26,51.55,riverside,1,4,7281.30
134.49,4,40,5.09,84.77,riverside,0,2,7200.27
154.75,4,11,19.90,50.92,riverside,1,4,7945.80
117.16,4,18,21.33,36.54,suburban,0,4,5379.40
154.40,5,42,23.50,41.91,university,0,5,7225.73
62.75,2,25,7.74,72.52,central,0,5,5539.94
91.27,3,38,14.59,47.31,central,0,4,5866.13
144.66,4,26,4.07,87.35,suburban,0,4,7468.43
114.56,4,34,5.84,78.16,university,1,1,5941.96
112.52,4,35,12.43,55.99,suburban,1,2,4998.27
154.80,5,4,16.30,60.21,suburban,1,5,7940.93
92.19,2,7,16.66,47.58,university,1,3,4993.15
145.38,5,30,10.70,73.74,university,1,1,7118.53
157.99,4,26,23.44,34.94,central,1,5,8486.51
65.91,2,24,7.77,75.34,university,1,3,4584.68
142.34,4,4,21.58,44.04,university,1,5,7002.80
135.24,4,26,20.84,53.34,central,1,3,7094.95
166.41,5,14,9.22,66.17,suburban,1,2,7645.22
45.45,1,35,1.55,81.76,suburban,1,4,3693.90
154.57,5,10,13.89,50.61,central,1,4,9023.57
63.83,1,39,1.65,84.10,suburban,1,3,4473.70
126.83,4,36,4.52,89.45,riverside,1,4,8209.62
77.68,3,23,21.27,46.78,riverside,0,5,4659.84
34.24,1,24,6.27,88.42,riverside,0,2,3314.98
135.39,4,17,7.02,68.26,university,1,1,6825.14
123.03,3,38,18.81,52.51,riverside,0,3,5920.44
33.28,1,3,21.83,38.69,riverside,1,3,2363.26
157.72,5,20,10.88,81.23,riverside,0,2,7972.52
55.13,1,28,20.22,47.74,central,1,4,3929.93
36.33,1,11,20.58,35.20,riverside,1,3,1878.77
53.14,2,11,6.93,73.19,university,1,4,4429.82
43.86,2,9,22.65,39.19,suburban,1,1,1193.51
160.21,5,33,12.41,66.32,university,1,1,7217.44
43.26,2,20,18.55,,suburban,1,4,2587.02
117.61,3,16,4.15,89.74,central,1,3,8269.88
152.07,4,0,3.71,87.21,university,1,3,8858.26
137.24,4,23,0.99,86.00,university,1,2,7805.83
43.31,1,20,0.82,88.76,suburban,0,1,3348.41
106.24,3,28,21.70,40.21,university,0,2,4489.05
77.89,2,38,8.72,72.31,suburban,0,2,3701.13
47.39,1,26,23.70,23.67,riverside,1,1,1961.38
130.75,4,5,3.03,95.22,university,1,3,8399.23
111.16,3,18,19.06,58.45,suburban,1,4,5269.84
161.58,4,21,8.05,66.86,suburban,1,2,7509.84
149.85,5,4,18.44,40.58,university,1,5,8175.44
103.11,3,20,8.10,83.23,suburban,0,3,5828.63
58.09,2,19,8.22,79.80,university,1,2,4315.33
61.61,2,20,14.68,62.27,central,0,5,5680.83
127.48,4,24,13.27,54.23,central,0,2,7199.04
87.90,3,32,19.77,47.07,university,1,3,4136.27
73.97,2,30,21.63,40.54,central,1,1,4069.89
107.05,3,20,21.89,29.08,riverside,1,5,5707.24
46.68,1,38,23.56,42.43,suburban,0,4,1849.76
88.81,2,39,4.44,78.19,suburban,0,3,4993.97
108.25,3,32,4.62,86.03,,0,3,5786.21
164.10,5,9,3.76,74.72,central,1,2,9451.60
160.76,5,7,7.21,82.57,suburban,1,3,8283.67
122.95,3,19,1.01,100.00,central,0,1,8126.05
